Unnamed: 0,Word Spacing,Size,Pen Pressure,Baseline
416,372.5564035,1.189525499,141,STRAIGHT
417,329.9501249,0.7435224372,122,STRAIGHT
418,193.7237807,0.5951825384,113,STRAIGHT
419,451.2493767,1.2464509,74,DESCENDING
420,248.2670003,0.8157480964,69,STRAIGHT
421,154.4032374,0.4295896198,124,STRAIGHT
422,381.2693844,1.325508108,171,ASSENDING
423,283.9593617,0.6450186274,193,STRAIGHT
424,384.2846004,1.073929779,189,STRAIGHT
425,399.4907874,1.330193348,183,STRAIGHT
426,93.47726996,0.7381483849,146,STRAIGHT
427,421.209826,0.3678411247,178,STRAIGHT
428,507.0722078,0.4166170466,198,STRAIGHT
429,492.7729764,0.744082697,148,STRAIGHT
430,298.7023947,1.240840187,162,STRAIGHT
431,399.2146832,2.705629418,184,STRAIGHT
432,294.9387321,0.5959546788,122,DESCENDING
433,291.0212154,0.7691405979,103,STRAIGHT
434,296.6177255,1.245572604,104,STRAIGHT
435,436.234453,0.5082284836,94,STRAIGHT
436,141.716134,0.8331603034,115,STRAIGHT
437,402.1333472,0.6885864132,167,STRAIGHT
438,206.4423345,0.7742717736,120,ASSENDING
439,237.7422858,0.644943301,93,STRAIGHT
440,520.215243,0.7251844486,78,STRAIGHT
441,102.5081295,0.4491178274,82,STRAIGHT
442,414.5197568,0.8942348183,79,STRAIGHT
443,87.35242967,0.4082575538,114,STRAIGHT
444,254.9886013,1.135764472,148,DESCENDING
445,353.2603366,0.5901091505,177,STRAIGHT
446,461.2161489,0.9431068139,107,STRAIGHT
447,214.6952604,0.9731696941,108,STRAIGHT
448,346.1711889,3.608519325,85,STRAIGHT
449,325.8608799,0.8683936253,93,STRAIGHT
450,231.0779089,0.6588443968,109,DESCENDING
451,453.3271308,1.216479525,107,STRAIGHT
452,573.4225622,0.6995938691,155,STRAIGHT
453,317.5677854,0.8754232501,188,DESCENDING
454,344.0597945,2.598729132,184,STRAIGHT
455,316.5536968,1.103121026,175,STRAIGHT
456,559.946426,0.2192728836,178,STRAIGHT
457,407.7019037,1.293840265,152,DESCENDING
458,317.3378836,3.771202094,140,ASSENDING
459,273.2068829,0.4414636975,141,STRAIGHT
460,306.0632921,1.088073919,146,STRAIGHT
461,368.4373507,1.666687976,164,STRAIGHT
462,336.4095502,1.167504083,169,ASSENDING
463,339.6707963,0.6566593846,186,STRAIGHT
464,436.676674,0.6479068619,197,STRAIGHT
465,220.2314509,0.4034977594,182,ASSENDING
466,562.8858549,2.875567076,181,STRAIGHT
467,612.5883196,0.6035085026,168,STRAIGHT
468,173.9798839,2.815102161,199,STRAIGHT
469,153.0751449,0.7415206102,161,DESCENDING
470,341.5573713,2.765999426,126,STRAIGHT
471,352.0655249,0.8717235232,195,STRAIGHT
472,221.9388753,1.004147396,196,STRAIGHT
473,358.5039935,1.033542533,198,ASSENDING
474,268.635968,1.535310525,186,STRAIGHT
475,382.707081,0.948498498,181,STRAIGHT
476,271.1051457,0.3893863803,167,STRAIGHT
477,412.5463998,1.4187055,173,STRAIGHT
478,464.8537404,0.8381819315,147,STRAIGHT
479,377.0190923,2.829299545,165,STRAIGHT
480,404.8189969,1.907440585,160,STRAIGHT
481,391.7041372,0.8917859911,114,DESCENDING
482,326.7680787,0.8019885588,102,STRAIGHT
483,436.8941848,0.4533548083,104,STRAIGHT
484,283.133987,0.5146175296,151,STRAIGHT
485,387.1332996,2.020436605,156,STRAIGHT
486,258.3634898,0.7464657412,138,STRAIGHT
487,185.1288172,0.4938494402,175,ASSENDING
488,85.78438779,0.4400132604,190,STRAIGHT
489,352.7014733,0.955,191,STRAIGHT
490,405.1836334,0.3407405645,182,STRAIGHT
491,319.5809725,0.7312661481,172,STRAIGHT
492,99.21338674,0.6218956918,127,STRAIGHT
493,474.723366,0.9553716017,169,ASSENDING
494,356.0104268,0.9997879873,141,STRAIGHT
495,421.2648887,0.7731519286,99,STRAIGHT
496,438.1494573,1.731109442,98,STRAIGHT
497,69.65564437,0.7934823951,93,DESCENDING
498,334.5680921,0.3753253508,80,STRAIGHT
499,406.8963336,0.6614012717,149,STRAIGHT
500,504.2123417,0.5088432175,183,STRAIGHT
501,213.7185646,0.5313623259,129,STRAIGHT
502,322.5472012,0.5809395225,86,ASSENDING
503,342.7018526,1.281091085,76,STRAIGHT
504,328.4279559,0.977816124,63,ASSENDING
505,388.482815,0.4179278223,70,STRAIGHT
506,319.5325534,1.481298857,89,STRAIGHT
507,498.0174192,0.4107643197,131,STRAIGHT
508,392.8617549,0.3741609844,163,DESCENDING
509,370.976565,0.7829431342,138,DESCENDING
510,123.0618128,1.723062169,104,STRAIGHT
511,367.9217809,1.184093228,89,STRAIGHT
512,354.042258,1.442497755,72,STRAIGHT
513,335.2439357,0.9398514988,73,STRAIGHT
514,103.5319051,0.6948838092,117,STRAIGHT
515,376.163364,2.989760727,152,DESCENDING
516,286.6530154,1.05065622,149,STRAIGHT
517,388.2624982,1.445710333,157,STRAIGHT
518,409.6689909,2.972611878,164,DESCENDING
519,426.948137,0.5949537769,184,DESCENDING
520,134.465589,1.598004435,185,STRAIGHT
521,211.9773187,0.9475588363,195,STRAIGHT
522,219.5690109,1.007623901,191,DESCENDING
523,337.3918897,0.920671122,191,STRAIGHT
524,366.440153,0.6348664795,199,ASSENDING
525,258.2063735,0.7176089843,184,STRAIGHT
526,535.622275,0.146171226,189,STRAIGHT
527,41.67197788,0.4950821698,190,STRAIGHT
528,474.5997531,0.9047071197,151,STRAIGHT
529,474.1047837,3.744800041,124,STRAIGHT
530,436.9891243,1.200315095,125,STRAIGHT
531,401.1629364,0.5035305104,180,STRAIGHT
532,402.7343504,2.731440762,168,STRAIGHT
533,313.7948019,1.341043014,98,STRAIGHT
534,193.6095816,0.9408579318,114,STRAIGHT
535,242.0285812,0.7170761409,159,STRAIGHT
536,314.4517948,1.228458993,194,STRAIGHT
537,348.3819743,0.4299257857,175,STRAIGHT
538,333.0135132,0.6345900558,103,STRAIGHT
539,296.6494371,0.8355416509,81,STRAIGHT
540,442.9113274,1.046800291,87,STRAIGHT
541,830.3932803,0.9676912235,90,DESCENDING
542,447.4532858,1.184826334,94,DESCENDING
543,48.20551498,1.761016322,186,STRAIGHT
544,414.6409777,1.765992822,145,DESCENDING
545,345.8562482,0.821222995,95,STRAIGHT
546,733.2349291,0.7071188103,75,STRAIGHT
547,176.9342465,1.677822953,67,STRAIGHT
548,66,0.5016706505,59,ASSENDING
549,375.5704308,0.7370506428,64,DESCENDING
550,464.7577354,0.502158246,91,STRAIGHT
551,289.166859,2.045071112,164,STRAIGHT
552,343.487912,1.386730968,188,STRAIGHT
553,425.0744108,2.020345449,132,STRAIGHT
554,207.8394466,0.5136896636,101,STRAIGHT
555,324.1755363,0.5574018722,90,ASSENDING
556,386.3303892,0.8206926896,62,STRAIGHT
557,471.7738424,1.272361905,67,STRAIGHT
558,46.32493929,0.4261457988,147,DESCENDING
